"","subject","session","task","cuecol","cueloc","validity","targloc","targtilt","delay","resp","time","corr"
"1",1,NA,2,1,4,1,4,1,1.03959518915336,0,NA,0
"2",1,NA,2,1,3,1,3,2,1.38945895473382,0,NA,0
"3",1,NA,2,1,6,0,1,2,1.16954458779753,0,NA,0
"4",1,NA,2,1,8,0,7,2,1.14955237262151,0,NA,0
"5",1,NA,2,2,6,1,6,1,1.0695835119174,0,NA,0
"6",1,NA,2,1,3,0,6,1,1.07957961950542,0,NA,0
"7",1,NA,2,2,3,1,3,1,1.15954848020952,0,NA,0
"8",1,NA,2,2,6,1,6,2,1.18953680297356,0,NA,0
"9",1,NA,2,2,3,1,3,2,1.08957572709343,0,NA,0
"10",1,NA,2,1,8,1,8,1,1.09957183468144,0,NA,0
"11",1,NA,2,2,1,0,4,2,1.2994939864417,0,NA,0
"12",1,NA,2,2,2,0,3,2,1.03959518915336,0,NA,0
"13",1,NA,2,1,5,1,5,2,1.31948620161773,0,NA,0
"14",1,NA,2,2,4,1,4,2,1.38945895473382,0,NA,0
"15",1,NA,2,1,2,1,2,1,1.2195251257376,0,NA,0
"16",1,NA,2,2,8,0,7,1,1.23951734091363,0,NA,0
"17",1,NA,2,1,2,1,2,1,1.20952901814959,0,NA,0
"18",1,NA,2,2,7,1,7,1,1.15954848020952,0,NA,0
"19",1,NA,2,2,2,1,2,2,1.15954848020952,0,NA,0
"20",1,NA,2,2,6,1,6,1,1.22952123332561,0,NA,0
"21",1,NA,2,2,8,1,8,1,1.38945895473382,0,NA,0
"22",1,NA,2,1,5,1,5,1,0.999610758801311,0,NA,0
"23",1,NA,2,2,5,0,8,1,1.01960297397734,0,NA,0
"24",1,NA,2,2,3,1,3,1,1.2195251257376,0,NA,0
"25",1,NA,2,1,8,1,8,2,1.35947063196978,0,NA,0
"26",1,NA,2,2,2,1,2,2,1.02959908156535,0,NA,0
"27",1,NA,2,1,2,1,2,2,1.3694667395578,0,NA,0
"28",1,NA,2,2,1,1,1,2,1.25950955608965,0,NA,0
"29",1,NA,2,1,1,1,1,1,1.35947063196978,0,NA,0
"30",1,NA,2,1,6,0,3,1,1.03959518915336,0,NA,0
"31",1,NA,2,2,1,1,1,2,1.31948620161773,0,NA,0
"32",1,NA,2,2,7,1,7,1,1.18953680297356,0,NA,0
"33",1,NA,2,1,5,0,4,1,1.14955237262151,0,NA,0
"34",1,NA,2,2,2,1,2,1,1.38945895473382,0,NA,0
"35",1,NA,2,1,8,1,8,1,1.19953291056157,0,NA,0
"36",1,NA,2,2,8,1,8,2,1.12956015744548,0,NA,0
"37",1,NA,2,1,8,1,8,2,1.26950566367767,0,NA,0
"38",1,NA,2,1,7,1,7,1,1.15954848020952,0,NA,0
"39",1,NA,2,2,8,1,8,1,1.23951734091363,0,NA,0
"40",1,NA,2,2,1,1,1,2,1.00960686638932,0,NA,0
"41",1,NA,2,2,3,1,3,1,1.2994939864417,0,NA,0
"42",1,NA,2,2,3,0,4,1,1.07957961950542,0,NA,0
"43",1,NA,2,2,5,1,5,1,1.28949787885369,0,NA,0
"44",1,NA,2,2,4,1,4,2,1.19953291056157,0,NA,0
"45",1,NA,2,2,5,1,5,2,1.37946284714581,0,NA,0
"46",1,NA,2,1,4,1,4,2,1.32948230920574,0,NA,0
"47",1,NA,2,1,6,1,6,2,1.12956015744548,0,NA,0
"48",1,NA,2,2,3,1,3,2,1.35947063196978,0,NA,0
"49",1,NA,2,1,8,1,8,1,1.18953680297356,0,NA,0
"50",1,NA,2,2,4,0,8,2,1.30949009402972,0,NA,0
"51",1,NA,2,2,5,1,5,1,1.01960297397734,0,NA,0
"52",1,NA,2,2,6,1,6,2,1.10956794226946,0,NA,0
"53",1,NA,2,2,7,1,7,1,1.0695835119174,0,NA,0
"54",1,NA,2,1,7,1,7,2,1.3694667395578,0,NA,0
"55",1,NA,2,2,4,1,4,2,1.32948230920574,0,NA,0
