subject,session,trial,task,cuecol,cueloc,validity,targloc,targtilt,delay,resp,time,corr
2,NaN,1,1,1,1,1,1,1,1.21987367918715,1,0.988130438374355,1
2,NaN,2,1,2,3,1,3,2,1.35985918335617,2,0.741417434532195,1
2,NaN,3,1,2,8,1,8,1,1.09988610418513,1,0.582826265715994,1
2,NaN,4,1,1,7,1,7,1,1.34986021877266,1,0.773701012018137,1
2,NaN,5,1,2,5,1,5,2,1.30986436043866,1,1.0193091686815,0
2,NaN,6,1,1,3,1,3,2,1.38985607710667,2,0.380099164554849,1
2,NaN,7,1,1,7,1,7,1,1.27986746668816,1,0.463997222832404,1
2,NaN,8,1,2,7,1,7,2,1.10988506876864,1,0.600793920340948,0
2,NaN,9,1,2,4,1,4,1,1.31986332502216,1,1.02664855436888,1
2,NaN,10,1,2,8,1,8,2,1.18987678543665,2,0.533768027322367,1
2,NaN,11,1,2,5,1,5,1,1.19987575002015,1,0.519733146182261,1
2,NaN,12,1,2,4,1,4,2,1.38985607710667,1,0.819991094758734,0
2,NaN,13,1,2,3,0,2,2,1.07988817501813,2,0.814732202910818,1
2,NaN,14,1,2,2,1,2,1,1.09988610418513,1,0.580559819471091,1
2,NaN,15,1,1,2,0,4,2,1.01989438751712,2,0.687424513394944,1
2,NaN,16,1,1,6,1,6,2,1.23987160835415,2,0.521045378642157,1
2,NaN,17,1,2,8,1,8,2,0.999896458350122,2,0.656502675265074,1
2,NaN,18,1,2,6,1,6,1,1.20987471460365,1,0.537730082171038,1
2,NaN,19,1,1,5,0,2,1,1.20987471460365,1,1.00331665494014,1
2,NaN,20,1,1,2,1,2,2,1.36985814793967,2,0.580812485306524,1
2,NaN,21,1,2,3,1,3,1,1.25986953752115,1,1.01120454014745,1
2,NaN,22,1,1,7,1,7,2,1.24987057293765,2,0.879068426555023,1
2,NaN,23,1,1,1,1,1,1,1.20987471460365,1,0.607737251673825,1
2,NaN,24,1,2,1,1,1,1,1.07988817501813,1,0.625639098347165,1
2,NaN,25,1,2,8,1,8,2,1.09988610418513,2,0.624411993310787,1
2,NaN,26,1,1,5,0,2,1,1.31986332502216,1,0.52275940135587,1
2,NaN,27,1,1,1,1,1,1,1.33986125418916,1,0.530878821504302,1
2,NaN,28,1,1,5,1,5,1,1.35985918335617,1,0.880807504523546,1
2,NaN,29,1,2,1,1,1,1,1.15987989168614,1,0.755499105784111,1
2,NaN,30,1,1,7,1,7,2,1.21987367918715,2,0.565367565490305,1
