subject,session,task,cuecol,cueloc,validity,targloc,targtilt,delay,resp,time,corr
6,1,1,1,7,1,7,1,1.27962485164031,2,0.665564463088231,0
6,1,1,1,5,1,5,1,1.10967467603183,1,0.815716750214051,1
6,1,1,1,1,1,1,2,1.05968933026463,2,0.758437516658887,1
6,1,1,2,7,1,7,2,1.05968933026463,2,1.06335389772721,1
6,1,1,2,5,1,5,2,1.06968639941807,2,0.947627368517715,1
6,1,1,2,3,1,3,2,1.20964536756623,2,1.5421353383972,1
6,1,1,2,1,1,1,1,1.38959261232815,1,0.744872942952497,1
6,1,1,2,4,1,4,1,1.29961898994719,1,0.937348308019864,1
6,1,1,1,1,1,1,1,1.37959554317471,2,1.48806378525478,0
6,1,1,2,7,0,3,1,1.20964536756623,1,0.924976600268565,1
6,1,1,2,1,0,2,1,1.06968639941807,1,1.07727427848658,1
6,1,1,1,6,1,6,2,1.32961019740751,2,0.869737270131736,1
6,1,1,2,1,1,1,1,1.16965709095247,1,0.872267263555841,1
6,1,1,2,4,0,1,2,1.35960140486783,2,0.862876295181195,1
6,1,1,1,7,1,7,2,1.02969812280432,2,0.839958386539365,1
6,1,1,1,1,1,1,1,1.24963364417999,1,1.09621587224319,1
6,1,1,1,7,1,7,1,1.23963657502655,1,1.26843903055124,1
6,1,1,1,2,1,2,2,1.19964829841279,2,1.44505361196934,1
6,1,1,2,4,1,4,2,1.34960433571439,2,1.31387798612195,1
6,1,1,1,3,1,3,2,1.04969226111119,1,1.68424062706254,0
6,1,1,1,3,1,3,2,1.21964243671967,2,0.991368542836426,1
6,1,1,2,3,0,7,2,1.00970398449744,2,1.02775038424807,1
6,1,1,2,2,1,2,1,1.27962485164031,1,1.40213581166608,1
6,1,1,2,2,1,2,1,1.19964829841279,2,1.20906857525188,0
6,1,1,2,4,1,4,2,1.19964829841279,2,0.965587926963053,1
6,1,1,1,8,1,8,1,1.19964829841279,1,0.926045732037892,1
6,1,1,2,8,1,8,1,1.19964829841279,2,0.862664464541012,0
6,1,1,2,4,1,4,1,1.22963950587311,1,1.20920513901729,1
6,1,1,1,3,1,3,2,1.34960433571439,1,0.923717305591708,0
6,1,1,1,6,0,1,2,1.38959261232815,2,0.946248331085371,1
6,1,1,1,7,0,1,2,1.24963364417999,2,0.958920536140795,1
6,1,1,1,6,1,6,1,1.15966002179903,1,0.963248381547601,1
6,1,1,1,2,1,2,1,1.24963364417999,2,1.00595435120704,0
6,1,1,2,5,1,5,1,1.38959261232815,1,0.864603441918007,1
6,1,1,1,4,1,4,2,1.32961019740751,1,0.775195230587997,0
6,1,1,1,4,1,4,1,1.12966881433871,2,0.709650610588142,0
6,1,1,2,8,0,7,1,1.18965122925935,2,0.944051621674589,0
6,1,1,1,4,1,4,1,1.05968933026463,1,0.790755802037893,1
6,1,1,1,2,1,2,1,1.29961898994719,1,1.39505644873134,1
6,1,1,1,5,0,4,2,1.21964243671967,2,1.32618754167925,1
6,1,1,1,5,1,5,2,1.26962778248687,2,0.892987037273997,1
6,1,1,2,2,1,2,2,1.20964536756623,1,0.91526318175238,0
6,1,1,1,1,0,2,2,1.21964243671967,2,0.920229370105517,1
6,1,1,2,2,1,2,2,1.21964243671967,2,0.956328390522685,1
6,1,1,1,2,0,8,1,1.36959847402127,2,1.62308343874975,0
6,1,1,1,8,1,8,1,1.07968346857151,1,0.63947992868998,1
6,1,1,2,6,1,6,2,1.32961019740751,2,0.968062895739422,1
6,1,1,1,8,1,8,2,1.24963364417999,2,0.998579622806574,1
6,1,1,2,5,1,5,1,1.01970105365088,1,0.847120428999915,1
6,1,1,2,6,1,6,1,1.00970398449744,1,1.37560195682454,1
6,1,1,2,5,0,8,2,1.00970398449744,2,0.898577028376167,1
6,1,1,2,8,1,8,1,1.27962485164031,2,0.866987748322572,0
6,1,1,1,7,1,7,1,1.20964536756623,1,0.67730210442096,1
6,1,1,2,2,0,3,2,1.18965122925935,2,0.699842538273515,1
6,1,1,2,6,1,6,2,1.31961312825407,2,0.902384277887904,1
6,1,1,1,7,1,7,2,1.05968933026463,2,0.795176020430517,1
6,1,1,2,1,1,1,1,1.39958968148159,1,0.667526248609647,1
6,1,1,1,7,1,7,2,1.07968346857151,2,0.635919862445007,1
6,1,1,2,8,1,8,2,1.33960726656095,2,1.17058496333266,1
6,1,1,1,4,1,4,2,1.39958968148159,2,0.843149816151708,1
6,1,1,1,4,0,8,1,1.15966002179903,1,0.949456866805122,1
6,1,1,1,6,0,5,1,1.11967174518527,1,1.09622356999171,1
6,1,1,1,8,1,8,2,1.21964243671967,2,1.03864412423718,1
6,1,1,1,7,1,7,2,1.11967174518527,2,0.675392777629895,1
6,1,1,2,5,1,5,2,1.16965709095247,2,0.75769910298186,1
6,1,1,1,5,1,5,1,1.07968346857151,1,0.900242308023735,1
6,1,1,2,3,1,3,2,1.35960140486783,2,0.720968867168267,1
6,1,1,2,6,1,6,1,1.22963950587311,1,0.877275932078192,1
6,1,1,2,8,1,8,1,1.26962778248687,1,0.853783828399173,1
6,1,1,1,2,1,2,2,1.09967760687839,2,0.834311945280206,1
6,1,1,1,1,1,1,1,1.17965416010591,1,1.03963998484323,1
6,1,1,2,3,1,3,2,1.31961312825407,2,0.925523140431324,1
6,1,1,2,3,0,5,1,1.21964243671967,2,0.960182681832521,0
6,1,1,1,6,1,6,2,1.33960726656095,2,0.626591046264366,1
6,1,1,2,1,1,1,2,1.23963657502655,2,0.8575055473666,1
6,1,1,2,5,1,5,1,1.09967760687839,1,0.757813999010978,1
6,1,1,2,6,1,6,1,1.02969812280432,1,1.03659880388295,1
6,1,1,2,8,0,4,2,1.05968933026463,2,0.846572748432664,1
6,1,1,1,3,1,3,1,1.06968639941807,1,0.893590027593746,1
6,1,1,1,3,1,3,1,1.17965416010591,1,0.791838618693873,1
6,1,2,2,4,1,4,1,1.33960726656095,0,NaN,0
6,1,2,2,6,1,6,2,1.30961605910063,0,NaN,0
6,1,2,1,2,1,2,1,1.37959554317471,0,NaN,0
6,1,2,2,6,1,6,2,1.12966881433871,0,NaN,0
6,1,2,2,5,1,5,2,1.09967760687839,0,NaN,0
6,1,2,2,1,1,1,1,1.34960433571439,0,NaN,0
6,1,2,2,8,1,8,2,1.26962778248687,0,NaN,0
6,1,2,2,3,0,4,2,1.24963364417999,0,NaN,0
6,1,2,2,7,0,1,2,1.03969519195776,0,NaN,0
6,1,2,2,2,1,2,2,1.38959261232815,0,NaN,0
6,1,2,2,7,1,7,2,1.10967467603183,0,NaN,0
6,1,2,1,4,1,4,2,1.26962778248687,0,NaN,0
6,1,2,2,2,1,2,2,1.11967174518527,0,NaN,0
6,1,2,2,2,1,2,1,1.38959261232815,0,NaN,0
6,1,2,1,3,1,3,1,1.27962485164031,0,NaN,0
6,1,2,2,1,1,1,1,1.05968933026463,0,NaN,0
6,1,2,2,1,1,1,2,1.25963071333343,0,NaN,0
6,1,2,1,7,1,7,1,1.02969812280432,0,NaN,0
6,1,2,2,5,1,5,1,1.22963950587311,0,NaN,0
6,1,2,1,7,1,7,2,1.23963657502655,0,NaN,0
6,1,2,2,5,0,1,1,1.23963657502655,0,NaN,0
6,1,2,2,4,1,4,1,1.14966295264559,0,NaN,0
6,1,2,2,5,0,7,2,1.16965709095247,0,NaN,0
6,1,2,2,1,1,1,1,1.32961019740751,0,NaN,0
6,1,2,1,3,1,3,2,1.22963950587311,0,NaN,0
6,1,2,1,6,1,6,2,1.06968639941807,0,NaN,0
6,1,2,1,3,1,3,2,1.18965122925935,0,NaN,0
6,1,2,1,8,0,2,2,1.21964243671967,0,NaN,0
6,1,2,1,4,0,6,1,1.06968639941807,0,NaN,0
6,1,2,1,4,1,4,1,1.29961898994719,0,NaN,0
6,1,2,2,1,1,1,2,1.32961019740751,0,NaN,0
6,1,2,1,1,1,1,1,1.23963657502655,0,NaN,0
6,1,2,1,3,1,3,2,1.04969226111119,0,NaN,0
6,1,2,2,5,1,5,1,1.09967760687839,0,NaN,0
6,1,2,1,7,1,7,1,1.04969226111119,0,NaN,0
6,1,2,1,8,1,8,2,1.22963950587311,0,NaN,0
6,1,2,1,8,1,8,1,1.00970398449744,0,NaN,0
6,1,2,1,2,1,2,2,1.32961019740751,0,NaN,0
6,1,2,2,2,0,1,2,1.18965122925935,0,NaN,0
6,1,2,1,6,1,6,1,1.18965122925935,0,NaN,0
6,1,2,2,2,1,2,2,1.09967760687839,0,NaN,0
6,1,2,1,8,1,8,1,1.17965416010591,0,NaN,0
6,1,2,2,8,1,8,1,1.19964829841279,0,NaN,0
6,1,2,1,1,0,2,2,1.29961898994719,0,NaN,0
6,1,2,2,5,1,5,2,1.24963364417999,0,NaN,0
6,1,2,1,2,1,2,1,1.19964829841279,0,NaN,0
6,1,2,2,1,0,6,1,1.05968933026463,0,NaN,0
6,1,2,1,4,1,4,1,1.09967760687839,0,NaN,0
6,1,2,2,4,0,2,2,1.22963950587311,0,NaN,0
6,1,2,1,6,0,4,2,1.27962485164031,0,NaN,0
6,1,2,2,7,1,7,2,1.13966588349215,0,NaN,0
6,1,2,1,4,1,4,1,1.27962485164031,0,NaN,0
6,1,2,2,3,1,3,1,1.35960140486783,0,NaN,0
6,1,2,2,2,1,2,1,1.18965122925935,0,NaN,0
6,1,2,2,2,0,7,2,1.26962778248687,0,NaN,0
6,1,2,1,3,1,3,2,1.24963364417999,0,NaN,0
6,1,2,1,6,0,8,2,1.14966295264559,0,NaN,0
6,1,2,1,8,0,1,1,1.14966295264559,0,NaN,0
6,1,2,1,8,1,8,2,1.18965122925935,0,NaN,0
6,1,2,1,7,1,7,1,1.04969226111119,0,NaN,0
6,1,2,2,4,1,4,2,1.32961019740751,0,NaN,0
6,1,2,2,8,1,8,1,1.32961019740751,0,NaN,0
6,1,2,2,5,1,5,1,1.10967467603183,0,NaN,0
6,1,2,1,1,1,1,1,1.13966588349215,0,NaN,0
6,1,2,1,5,1,5,2,1.03969519195776,0,NaN,0
6,1,2,1,6,1,6,2,1.17965416010591,0,NaN,0
6,1,2,1,5,1,5,2,1.02969812280432,0,NaN,0
6,1,2,2,6,1,6,2,1.19964829841279,0,NaN,0
6,1,2,2,4,1,4,1,1.30961605910063,0,NaN,0
6,1,2,1,7,1,7,2,1.34960433571439,0,NaN,0
6,1,2,1,3,1,3,1,1.18965122925935,0,NaN,0
6,1,2,2,7,0,1,1,1.37959554317471,0,NaN,0
6,1,2,2,6,1,6,2,1.37959554317471,0,NaN,0
6,1,2,1,3,0,1,1,1.05968933026463,0,NaN,0
6,1,2,2,8,1,8,1,1.14966295264559,0,NaN,0
6,1,2,1,3,1,3,2,1.06968639941807,0,NaN,0
6,1,2,2,7,1,7,1,1.20964536756623,0,NaN,0
6,1,2,2,5,1,5,1,1.07968346857151,0,NaN,0
6,1,2,1,1,1,1,1,1.01970105365088,0,NaN,0
6,1,2,2,6,1,6,1,1.15966002179903,0,NaN,0
6,1,1,1,1,1,1,2,1.15966002179903,2,1.02171534922672,1
6,1,1,2,8,0,7,1,1.16965709095247,1,0.550674422574957,1
6,1,1,1,7,1,7,1,1.38959261232815,1,0.82674876458259,1
6,1,1,1,3,1,3,1,1.03969519195776,1,0.815375768459489,1
6,1,1,1,5,1,5,2,1.08968053772495,2,0.727859207603615,1
6,1,1,2,5,1,5,2,1.36959847402127,2,0.738421659298183,1
6,1,1,2,3,0,6,2,1.01970105365088,2,1.03165314286161,1
6,1,1,1,2,0,1,2,1.15966002179903,2,0.771896317597566,1
6,1,1,2,3,1,3,2,1.04969226111119,2,0.774087324971333,1
6,1,1,1,1,0,7,1,1.10967467603183,1,0.826475922152895,1
6,1,1,2,8,1,8,2,1.36959847402127,2,0.679301523381582,1
6,1,1,1,8,1,8,1,1.11967174518527,1,0.950038759590825,1
6,1,1,2,7,0,1,2,1.30961605910063,2,0.812276141627081,1
6,1,1,2,7,0,5,2,1.03969519195776,2,0.798803085599502,1
6,1,1,1,4,1,4,2,1.06968639941807,2,0.71330390512594,1
6,1,1,1,3,1,3,1,1.22963950587311,1,0.561924824927701,1
6,1,1,2,3,1,3,1,1.18965122925935,1,0.878453402536252,1
6,1,1,2,1,1,1,1,1.05968933026463,1,1.00690744654639,1
6,1,1,1,8,1,8,2,1.14966295264559,2,0.675280732622923,1
6,1,1,1,6,1,6,1,1.10967467603183,1,1.0420841626219,1
6,1,1,1,2,1,2,1,1.29961898994719,1,1.16205899383567,1
6,1,1,1,7,1,7,1,1.23963657502655,1,0.603067866486526,1
6,1,1,1,4,1,4,2,1.31961312825407,1,1.29938483583464,0
6,1,1,1,6,1,6,1,1.02969812280432,1,1.06608944955224,1
6,1,1,2,8,0,1,1,1.30961605910063,1,1.32460294584234,1
6,1,1,2,8,1,8,2,1.02969812280432,2,0.831379103008658,1
6,1,1,1,7,1,7,1,1.22963950587311,2,1.10643392095517,0
6,1,1,2,3,1,3,1,1.13966588349215,1,1.13627581204855,1
6,1,1,2,6,0,2,2,1.02969812280432,2,0.983379420042183,1
6,1,1,2,1,0,8,1,1.04969226111119,1,1.17930337654616,1
6,1,1,2,7,1,7,1,1.17965416010591,1,0.753885011028615,1
6,1,1,2,1,1,1,2,1.28962192079375,2,1.06873120288219,1
6,1,1,1,6,1,6,2,1.00970398449744,2,0.891218550776102,1
6,1,1,1,7,1,7,2,1.16965709095247,2,0.693559749783162,1
