subject,session,task,cuecol,cueloc,validity,targloc,targtilt,delay,resp,time,corr
8,2,1,2,5,0,2,2,1.12987373260338,2,0.785744278466154,1
8,2,1,2,2,1,2,2,1.24986032367631,2,0.466790130723894,1
8,2,1,2,2,1,2,1,1.05988155447751,1,0.479802457508413,1
8,2,1,1,3,1,3,2,1.19986591072926,2,0.47280998459064,1
8,2,1,2,3,1,3,2,1.36984691474924,2,0.366378835422438,1
8,2,1,2,2,1,2,1,1.17986814555044,1,0.491323857691896,1
8,2,1,2,5,1,5,1,1.37984579733865,1,0.403639020076298,1
8,2,1,2,6,0,8,2,1.31985250180218,2,0.636040939352824,1
8,2,1,1,7,1,7,2,1.29985473662336,2,0.86366670138159,1
8,2,1,1,2,1,2,1,1.20986479331867,1,0.462519904427609,1
8,2,1,2,1,1,1,2,1.09987708483515,2,0.596367319154524,1
8,2,1,1,8,1,8,2,1.22986255849749,1,0.517570082454768,0
8,2,1,2,8,1,8,1,1.00988714153046,1,0.554243737369688,1
8,2,1,2,5,1,5,2,1.36984691474924,2,0.699769523696887,1
8,2,1,2,7,1,7,2,1.36984691474924,2,0.561359372477455,1
8,2,1,2,7,0,4,2,1.34984914957042,2,0.622330391628566,1
8,2,1,1,2,1,2,1,1.339850266981,1,0.502151866829081,1
8,2,1,2,5,1,5,2,1.07987931965633,2,0.475114445747749,1
8,2,1,2,8,1,8,2,1.06988043706692,2,0.528702374645945,1
8,2,1,2,7,0,2,2,1.32985138439159,2,0.637652009459998,1
8,2,1,2,1,0,5,1,1.11987485001397,1,0.694032520250403,1
8,2,1,1,3,1,3,2,1.18986702813985,2,0.42874448524708,1
8,2,1,1,6,1,6,1,1.19986591072926,1,0.575959223655445,1
8,2,1,1,8,1,8,2,1.19986591072926,1,0.594670820371903,0
8,2,1,1,4,1,4,2,1.14987149778221,2,0.460543875775329,1
8,2,1,1,4,1,4,2,1.07987931965633,2,0.401944634368192,1
8,2,1,1,4,1,4,2,1.36984691474924,2,0.463163185371741,1
8,2,1,1,6,1,6,2,1.38984467992806,2,0.451946671981204,1
8,2,1,2,7,1,7,2,1.15987038037162,2,0.491715682501308,1
8,2,1,1,1,1,1,1,0.999888258941048,1,0.470691474187333,1
8,2,1,1,4,0,8,2,1.36984691474924,2,0.529013902536462,1
8,2,1,1,8,1,8,2,1.02988490670928,2,0.401275694635842,1
8,2,1,1,1,1,1,2,1.12987373260338,1,0.594981140789969,0
8,2,1,2,4,1,4,1,1.21986367590808,2,0.546059187279752,0
8,2,1,2,3,1,3,2,1.25985920626572,2,0.485603155126228,1
8,2,1,1,6,1,6,2,1.08987820224574,2,0.568571303512726,1
8,2,1,2,1,1,1,1,1.07987931965633,1,0.690716800923838,1
8,2,1,2,1,1,1,1,1.21986367590808,1,0.627558445439718,1
8,2,1,1,5,1,5,2,1.05988155447751,2,0.513390416592301,1
8,2,1,2,5,1,5,1,1.25985920626572,1,0.583495964778194,1
8,2,1,2,2,0,1,1,1.08987820224574,1,0.560477313856609,1
8,2,1,2,6,1,6,1,1.01988602411987,1,0.474357964261799,1
8,2,1,1,7,1,7,1,1.07987931965633,1,0.482123823279835,1
8,2,1,2,1,1,1,2,1.35984803215983,2,0.500824552744234,1
8,2,1,2,4,0,5,1,1.10987596742456,2,0.595185203634173,0
8,2,1,2,7,1,7,1,1.03988378929869,1,0.463582480178957,1
8,2,1,2,1,1,1,1,0.999888258941048,1,0.553179048542006,1
8,2,1,2,8,1,8,1,1.03988378929869,1,0.494327747264833,1
8,2,1,1,2,0,4,2,1.26985808885513,2,0.780562410476705,1
8,2,1,1,8,0,5,2,1.39984356251747,2,0.616664327189937,1
8,2,1,1,7,1,7,1,1.2398614410869,1,0.513489429333276,1
8,2,1,2,8,0,5,1,1.16986926296103,1,0.731276404027085,1
8,2,1,2,2,1,2,1,1.11987485001397,1,0.456636796816383,1
8,2,1,2,2,1,2,1,1.05988155447751,1,0.485900495214082,1
8,2,1,1,6,1,6,1,1.0498826718881,1,0.723723663893907,1
8,2,1,2,5,1,5,1,1.27985697144454,1,0.443556247839297,1
8,2,1,2,6,1,6,1,1.00988714153046,1,0.409407719673254,1
8,2,1,2,8,1,8,2,1.06988043706692,2,0.663206352512134,1
8,2,1,1,7,1,7,1,1.00988714153046,1,0.571017944550476,1
8,2,1,2,5,1,5,1,1.34984914957042,1,0.68372644108058,1
8,2,1,1,1,0,4,1,0.999888258941048,1,0.826063594555308,1
8,2,1,1,4,1,4,1,1.12987373260338,2,1.23704646202896,0
8,2,1,2,8,1,8,2,1.15987038037162,2,0.907672732706487,1
8,2,1,1,5,0,6,1,1.20986479331867,2,0.718930602030014,0
8,2,1,2,3,0,1,1,1.13987261519279,1,0.861688257782589,1
8,2,1,2,3,1,3,2,1.13987261519279,2,0.584046270345425,1
8,2,1,1,1,1,1,1,1.06988043706692,2,0.766326612239936,0
8,2,1,1,4,1,4,2,1.21986367590808,2,0.596660734958277,1
8,2,1,1,3,1,3,1,1.26985808885513,1,0.673445416963659,1
8,2,1,2,7,1,7,2,1.32985138439159,2,0.566727493091093,1
8,2,1,2,5,1,5,1,1.31985250180218,2,0.915430743154502,0
8,2,1,2,6,0,8,1,1.05988155447751,1,0.559378212064985,1
8,2,1,2,6,1,6,1,1.05988155447751,1,0.552855747795547,1
8,2,1,2,3,1,3,1,1.18986702813985,2,0.631911987333297,0
8,2,1,1,3,0,8,2,1.28985585403395,1,0.950743576624518,0
8,2,1,1,2,1,2,2,1.07987931965633,2,0.496603229083121,1
8,2,1,2,4,1,4,2,1.01988602411987,2,0.543317319228663,1
8,2,1,1,6,1,6,2,1.18986702813985,2,0.567179691521233,1
8,2,1,1,4,1,4,2,1.27985697144454,2,0.504047598564284,1
8,2,1,2,3,1,3,1,1.07987931965633,1,0.44391879144132,1
8,2,1,2,4,1,4,2,1.01988602411987,2,0.820246294191747,1
8,2,1,1,8,1,8,2,1.10987596742456,2,0.866877974343879,1
8,2,1,1,6,0,2,1,1.2398614410869,2,0.772718065749359,0
8,2,1,1,5,1,5,2,1.02988490670928,2,0.497738555048272,1
8,2,1,1,6,1,6,1,1.0498826718881,1,0.605583956314149,1
8,2,1,2,4,1,4,2,1.11987485001397,2,0.516836844813952,1
8,2,1,1,4,0,6,2,1.12987373260338,2,0.936049240724969,1
8,2,1,1,8,1,8,1,1.01988602411987,1,0.464915227887104,1
8,2,1,2,7,1,7,2,1.20986479331867,2,0.51467486540605,1
8,2,1,1,8,1,8,2,1.08987820224574,2,0.575704446970121,1
8,2,1,1,5,0,8,1,1.16986926296103,1,0.405255825677159,1
8,2,1,1,3,0,4,2,1.12987373260338,2,0.730088854877977,1
8,2,1,2,8,0,3,2,1.27985697144454,2,0.527937138984271,1
8,2,1,2,1,0,7,2,1.339850266981,2,0.424619457511653,1
8,2,1,1,6,1,6,2,1.05988155447751,2,0.437073026423604,1
8,2,1,2,2,1,2,1,1.17986814555044,1,0.583374915664535,1
8,2,1,2,7,0,1,1,1.10987596742456,2,0.597137988441318,0
8,2,1,2,1,1,1,1,1.06988043706692,2,0.640048238523377,0
8,2,1,1,4,1,4,2,1.20986479331867,2,0.3478242101246,1
8,2,1,2,3,1,3,2,1.22986255849749,2,0.578635888194185,1
8,2,1,2,4,1,4,1,1.24986032367631,2,0.364407032922827,0
8,2,1,1,7,1,7,2,1.339850266981,1,0.585332228494735,0
8,2,1,1,7,1,7,1,1.25985920626572,1,0.480938990944196,1
8,2,1,2,6,1,6,1,1.01988602411987,1,0.527983022937406,1
8,2,1,2,8,1,8,2,1.02988490670928,2,0.525696673865241,1
8,2,1,1,6,1,6,1,1.05988155447751,2,0.712785171030191,0
8,2,1,1,6,1,6,1,1.03988378929869,1,0.430476604466094,1
8,2,1,1,7,1,7,2,1.25985920626572,2,0.55542313607657,1
8,2,1,2,3,1,3,1,1.21986367590808,1,0.55974045379844,1
8,2,1,2,1,1,1,2,1.0498826718881,1,0.774020022910918,0
8,2,1,2,3,0,1,2,1.26985808885513,1,0.800366467887216,0
8,2,1,2,1,1,1,2,1.38984467992806,2,0.657072392501505,1
8,2,1,2,6,1,6,1,1.13987261519279,1,0.658975670939981,1
8,2,1,1,5,1,5,1,1.34984914957042,1,0.636812212376753,1
8,2,1,1,2,1,2,2,1.19986591072926,2,0.893358146891842,1
