subject,session,block,trial,task,CT_fixed,cuecol,cueloc,validity,targloc,targtilt,delay,resp,time,corr
1,nan,1,1,2,1,1,4,1,4,1,1.03959518915,0,nan,0
1,nan,1,2,2,1,1,3,1,3,2,1.38945895473,0,nan,0
1,nan,1,3,2,1,1,6,0,1,2,1.1695445878,0,nan,0
1,nan,1,4,2,1,1,8,0,7,2,1.14955237262,0,nan,0
1,nan,1,5,2,1,2,6,1,6,1,1.06958351192,0,nan,0
1,nan,1,6,2,1,1,3,0,6,1,1.07957961951,0,nan,0
1,nan,1,7,2,1,2,3,1,3,1,1.15954848021,0,nan,0
1,nan,1,8,2,1,2,6,1,6,2,1.18953680297,0,nan,0
1,nan,1,9,2,1,2,3,1,3,2,1.08957572709,0,nan,0
1,nan,1,10,2,1,1,8,1,8,1,1.09957183468,0,nan,0
1,nan,1,11,2,1,2,1,0,4,2,1.29949398644,0,nan,0
1,nan,1,12,2,1,2,2,0,3,2,1.03959518915,0,nan,0
1,nan,1,13,2,1,1,5,1,5,2,1.31948620162,0,nan,0
1,nan,1,14,2,1,2,4,1,4,2,1.38945895473,0,nan,0
1,nan,1,15,2,1,1,2,1,2,1,1.21952512574,0,nan,0
1,nan,1,16,2,1,2,8,0,7,1,1.23951734091,0,nan,0
1,nan,1,17,2,1,1,2,1,2,1,1.20952901815,0,nan,0
1,nan,1,18,2,1,2,7,1,7,1,1.15954848021,0,nan,0
1,nan,1,19,2,1,2,2,1,2,2,1.15954848021,0,nan,0
1,nan,1,20,2,1,2,6,1,6,1,1.22952123333,0,nan,0
1,nan,1,21,2,1,2,8,1,8,1,1.38945895473,0,nan,0
1,nan,1,22,2,1,1,5,1,5,1,0.999610758801,0,nan,0
1,nan,1,23,2,1,2,5,0,8,1,1.01960297398,0,nan,0
1,nan,1,24,2,1,2,3,1,3,1,1.21952512574,0,nan,0
1,nan,1,25,2,1,1,8,1,8,2,1.35947063197,0,nan,0
1,nan,1,26,2,1,2,2,1,2,2,1.02959908157,0,nan,0
1,nan,1,27,2,1,1,2,1,2,2,1.36946673956,0,nan,0
1,nan,1,28,2,1,2,1,1,1,2,1.25950955609,0,nan,0
1,nan,1,29,2,1,1,1,1,1,1,1.35947063197,0,nan,0
1,nan,1,30,2,1,1,6,0,3,1,1.03959518915,0,nan,0
1,nan,1,31,2,1,2,1,1,1,2,1.31948620162,0,nan,0
1,nan,1,32,2,1,2,7,1,7,1,1.18953680297,0,nan,0
1,nan,1,33,2,1,1,5,0,4,1,1.14955237262,0,nan,0
1,nan,1,34,2,1,2,2,1,2,1,1.38945895473,0,nan,0
1,nan,1,35,2,1,1,8,1,8,1,1.19953291056,0,nan,0
1,nan,1,36,2,1,2,8,1,8,2,1.12956015745,0,nan,0
1,nan,1,37,2,1,1,8,1,8,2,1.26950566368,0,nan,0
1,nan,1,38,2,1,1,7,1,7,1,1.15954848021,0,nan,0
1,nan,1,39,2,1,2,8,1,8,1,1.23951734091,0,nan,0
1,nan,1,40,2,1,2,1,1,1,2,1.00960686639,0,nan,0
1,nan,1,41,2,0,2,3,1,3,1,1.29949398644,0,nan,0
1,nan,1,42,2,1,2,3,0,4,1,1.07957961951,0,nan,0
1,nan,1,43,2,1,2,5,1,5,1,1.28949787885,0,nan,0
1,nan,1,44,2,1,2,4,1,4,2,1.19953291056,0,nan,0
1,nan,1,45,2,1,2,5,1,5,2,1.37946284715,0,nan,0
1,nan,1,46,2,1,1,4,1,4,2,1.32948230921,0,nan,0
1,nan,1,47,2,1,1,6,1,6,2,1.12956015745,0,nan,0
1,nan,1,48,2,1,2,3,1,3,2,1.35947063197,0,nan,0
1,nan,1,49,2,1,1,8,1,8,1,1.18953680297,0,nan,0
1,nan,1,50,2,1,2,4,0,8,2,1.30949009403,0,nan,0
1,nan,1,51,2,1,2,5,1,5,1,1.01960297398,0,nan,0
1,nan,1,52,2,1,2,6,1,6,2,1.10956794227,0,nan,0
1,nan,1,53,2,1,2,7,1,7,1,1.06958351192,0,nan,0
1,nan,1,54,2,1,1,7,1,7,2,1.36946673956,0,nan,0
1,nan,1,55,2,1,2,4,1,4,2,1.32948230921,0,nan,0
1,nan,1,56,2,1,1,6,1,6,1,1.26950566368,0,nan,0
1,nan,1,57,2,1,1,4,1,4,2,1.22952123333,0,nan,0
1,nan,1,58,2,1,2,7,1,7,1,1.2495134485,0,nan,0
1,nan,1,59,2,1,2,4,1,4,1,1.00960686639,0,nan,0
1,nan,1,60,2,1,1,1,1,1,2,1.14955237262,0,nan,0
1,nan,1,61,2,1,1,5,1,5,1,1.26950566368,0,nan,0
1,nan,1,62,2,1,2,2,1,2,2,1.27950177127,0,nan,0
1,nan,1,63,2,1,1,1,1,1,2,1.05958740433,0,nan,0
1,nan,1,64,2,1,1,4,1,4,2,1.31948620162,0,nan,0
1,nan,1,65,2,1,2,7,0,1,2,1.05958740433,0,nan,0
1,nan,1,66,2,1,2,7,1,7,1,1.07957961951,0,nan,0
1,nan,1,67,2,1,2,2,0,8,1,1.17954069539,0,nan,0
1,nan,1,68,2,1,2,6,1,6,1,1.12956015745,0,nan,0
1,nan,1,69,2,1,2,3,1,3,2,1.09957183468,0,nan,0
1,nan,1,70,2,1,2,3,1,3,1,1.30949009403,0,nan,0
1,nan,1,71,2,1,1,7,0,5,1,1.12956015745,0,nan,0
1,nan,1,72,2,1,1,7,1,7,2,1.25950955609,0,nan,0
1,nan,1,73,2,0,1,1,0,3,1,1.31948620162,0,nan,0
1,nan,1,74,2,1,2,4,0,5,2,1.17954069539,0,nan,0
1,nan,1,75,2,1,1,5,1,5,1,1.22952123333,0,nan,0
1,nan,1,76,2,1,1,6,1,6,2,1.17954069539,0,nan,0
1,nan,1,77,2,1,2,1,1,1,2,1.29949398644,0,nan,0
1,nan,1,78,2,1,1,5,1,5,2,1.15954848021,0,nan,0
1,nan,1,79,2,1,1,2,1,2,1,1.36946673956,0,nan,0
1,nan,1,80,2,1,1,1,1,1,2,1.20952901815,0,nan,0
1,nan,2,81,1,1,2,8,1,8,2,1.21952512574,2,0.361618078396,1
1,nan,2,82,1,1,2,3,1,3,2,1.05958740433,2,0.488106289029,1
1,nan,2,83,1,1,2,4,1,4,2,1.26950566368,2,0.548562707836,1
1,nan,2,84,1,1,2,3,0,2,2,1.29949398644,2,0.603601127619,1
1,nan,2,85,1,1,1,8,1,8,2,1.19953291056,2,0.387743302481,1
1,nan,2,86,1,1,2,3,1,3,1,1.07957961951,1,0.538182011011,1
1,nan,2,87,1,1,1,3,1,3,2,1.23951734091,2,0.398691629072,1
1,nan,2,88,1,1,2,4,0,8,2,1.30949009403,2,0.549135469362,1
1,nan,2,89,1,1,2,6,1,6,2,1.36946673956,2,0.421650271641,1
1,nan,2,90,1,1,1,7,1,7,1,1.20952901815,1,0.4199402549,1
1,nan,2,91,1,1,1,3,0,1,1,1.06958351192,1,0.604695333062,1
1,nan,2,92,1,1,2,5,1,5,1,1.18953680297,1,0.775242561227,1
1,nan,2,93,1,1,1,6,1,6,1,1.04959129674,1,0.491818832877,1
1,nan,2,94,1,1,1,6,0,1,2,1.36946673956,2,0.580416402476,1
1,nan,2,95,1,1,2,6,1,6,2,1.30949009403,2,0.424672878758,1
1,nan,2,96,1,1,1,3,1,3,1,1.13955626503,1,0.523353217955,1
1,nan,2,97,1,1,1,5,1,5,2,1.17954069539,1,0.554012922914,0
1,nan,2,98,1,1,1,7,1,7,1,1.30949009403,1,0.476527896251,1
1,nan,2,99,1,1,1,5,1,5,2,1.29949398644,1,0.783256090828,0
1,nan,2,100,1,1,2,1,1,1,2,1.15954848021,2,1.03356741765,1
1,nan,2,101,1,1,1,7,1,7,2,1.23951734091,2,0.488361166483,1
1,nan,2,102,1,1,1,4,1,4,1,1.02959908157,1,0.555164147921,1
1,nan,2,103,1,1,2,1,0,3,2,1.04959129674,1,0.569196662758,0
1,nan,2,104,1,1,2,3,1,3,1,1.03959518915,1,0.477770352563,1
1,nan,2,105,1,1,2,1,1,1,1,1.21952512574,1,0.422233011592,1
1,nan,2,106,1,1,2,2,0,5,2,1.36946673956,2,0.568799236395,1
1,nan,2,107,1,1,1,2,1,2,2,1.15954848021,2,0.405253725658,1
1,nan,2,108,1,1,1,7,1,7,1,1.14955237262,1,0.367791871748,1
1,nan,2,109,1,1,2,6,1,6,2,1.10956794227,2,0.42814793612,1
1,nan,2,110,1,1,1,5,1,5,1,1.38945895473,1,0.428636023593,1
