subject,session,block,trial,task,CT_fixed,cuecol,cueloc,validity,targloc,targtilt,delay,resp,time,corr
8,1,1,1,2,0,1,5,1,5,1,1.15987402575,0,nan,0
8,1,1,2,2,1,1,3,1,3,2,1.2598631659,0,nan,0
8,1,1,3,2,1,2,4,1,4,2,1.37985013409,0,nan,0
8,1,1,4,2,1,2,3,1,3,1,1.21986750984,0,nan,0
8,1,1,5,2,1,1,7,0,5,2,1.37985013409,0,nan,0
8,1,1,6,2,1,1,6,1,6,1,1.0598848856,0,nan,0
8,1,1,7,2,1,1,8,0,7,2,1.31985665,0,nan,0
8,1,1,8,2,1,1,8,1,8,2,1.20986859583,0,nan,0
8,1,1,9,2,1,1,3,1,3,1,1.24986425189,0,nan,0
8,1,1,10,2,1,1,2,1,2,1,1.34985339204,0,nan,0
8,1,1,11,2,1,2,1,0,3,1,1.29985882197,0,nan,0
8,1,1,12,2,1,1,8,1,8,2,1.07988271363,0,nan,0
8,1,1,13,2,1,2,1,1,1,1,1.0598848856,0,nan,0
8,1,1,14,2,1,1,3,1,3,1,1.00989031553,0,nan,0
8,1,1,15,2,1,1,4,1,4,1,1.0598848856,0,nan,0
8,1,1,16,2,1,2,4,1,4,2,1.11987836969,0,nan,0
8,1,1,17,2,1,1,6,1,6,2,1.14987511174,0,nan,0
8,1,1,18,2,1,2,2,1,2,1,1.31985665,0,nan,0
8,1,1,19,2,1,1,7,0,1,2,1.1898707678,0,nan,0
8,1,1,20,2,1,2,3,0,8,1,1.36985122007,0,nan,0
8,1,1,21,2,1,2,4,1,4,1,1.14987511174,0,nan,0
8,1,1,22,2,1,1,2,1,2,2,1.20986859583,0,nan,0
8,1,1,23,2,1,2,3,1,3,2,1.37985013409,0,nan,0
8,1,1,24,2,1,1,5,1,5,2,1.15987402575,0,nan,0
8,1,1,25,2,1,2,6,1,6,1,1.30985773598,0,nan,0
8,1,1,26,2,1,1,6,1,6,1,1.32985556401,0,nan,0
8,1,1,27,2,1,2,2,1,2,1,1.15987402575,0,nan,0
8,1,1,28,2,0,1,6,0,5,2,1.32985556401,0,nan,0
8,1,1,29,2,1,2,4,1,4,2,1.35985230606,0,nan,0
8,1,1,30,2,1,1,2,1,2,1,0.999891401512,0,nan,0
8,1,1,31,2,0,2,6,1,6,2,1.37985013409,0,nan,0
8,1,1,32,2,1,1,6,1,6,1,1.20986859583,0,nan,0
8,1,1,33,2,1,1,5,0,7,2,1.1898707678,0,nan,0
8,1,1,34,2,1,1,8,1,8,2,1.32985556401,0,nan,0
8,1,1,35,2,1,2,5,1,5,1,1.32985556401,0,nan,0
8,1,1,36,2,1,1,1,1,1,2,1.06988379962,0,nan,0
8,1,1,37,2,1,2,2,1,2,1,1.34985339204,0,nan,0
8,1,1,38,2,1,1,8,0,6,1,1.24986425189,0,nan,0
8,1,1,39,2,1,1,4,0,6,2,1.31985665,0,nan,0
8,1,1,40,2,1,1,1,1,1,1,1.31985665,0,nan,0
8,1,1,41,2,1,1,1,1,1,2,1.32985556401,0,nan,0
8,1,1,42,2,1,1,8,1,8,1,1.10987945568,0,nan,0
8,1,1,43,2,1,2,3,1,3,1,1.15987402575,0,nan,0
8,1,1,44,2,1,1,5,0,3,2,1.24986425189,0,nan,0
8,1,1,45,2,1,1,7,1,7,2,1.14987511174,0,nan,0
8,1,1,46,2,1,2,4,1,4,2,1.28985990795,0,nan,0
8,1,1,47,2,1,2,7,1,7,2,1.01988922954,0,nan,0
8,1,1,48,2,1,2,5,1,5,1,1.34985339204,0,nan,0
8,1,1,49,2,1,1,1,0,7,2,1.20986859583,0,nan,0
8,1,1,50,2,1,1,5,1,5,1,1.02988814356,0,nan,0
8,1,1,51,2,1,2,4,0,5,2,1.11987836969,0,nan,0
8,1,1,52,2,1,2,2,1,2,2,1.12987728371,0,nan,0
8,1,1,53,2,1,1,2,0,5,2,1.23986533787,0,nan,0
8,1,1,54,2,1,2,6,0,4,2,1.24986425189,0,nan,0
8,1,1,55,2,1,2,6,1,6,2,1.3898490481,0,nan,0
8,1,1,56,2,1,1,5,1,5,2,1.00989031553,0,nan,0
8,1,1,57,2,1,2,7,1,7,2,1.13987619772,0,nan,0
8,1,1,58,2,1,2,7,1,7,1,1.02988814356,0,nan,0
8,1,1,59,2,1,2,7,1,7,1,1.22986642386,0,nan,0
8,1,1,60,2,1,1,1,1,1,2,1.17987185378,0,nan,0
8,1,1,61,2,0,1,3,1,3,1,0.999891401512,0,nan,0
8,1,1,62,2,1,1,5,1,5,1,1.29985882197,0,nan,0
8,1,1,63,2,1,1,5,1,5,2,1.14987511174,0,nan,0
8,1,1,64,2,1,2,8,1,8,2,1.24986425189,0,nan,0
8,1,1,65,2,1,2,7,1,7,1,1.17987185378,0,nan,0
8,1,1,66,2,1,1,1,1,1,1,1.34985339204,0,nan,0
8,1,1,67,2,1,2,3,1,3,2,1.06988379962,0,nan,0
8,1,1,68,2,1,1,7,1,7,1,1.31985665,0,nan,0
8,1,1,69,2,1,2,2,1,2,2,1.30985773598,0,nan,0
8,1,1,70,2,1,2,4,1,4,1,1.09988054166,0,nan,0
8,1,1,71,2,1,2,7,1,7,1,1.33985447803,0,nan,0
8,1,1,72,2,1,1,1,1,1,1,1.17987185378,0,nan,0
8,1,1,73,2,1,1,4,1,4,1,1.11987836969,0,nan,0
8,1,1,74,2,1,2,3,0,8,2,1.07988271363,0,nan,0
8,1,1,75,2,1,1,2,0,3,2,1.07988271363,0,nan,0
8,1,1,76,2,1,1,1,1,1,1,1.11987836969,0,nan,0
8,1,1,77,2,1,2,6,1,6,1,1.02988814356,0,nan,0
8,1,1,78,2,1,2,8,1,8,2,1.28985990795,0,nan,0
8,1,1,79,2,1,1,8,1,8,1,1.04988597159,0,nan,0
8,1,1,80,2,1,2,8,1,8,1,1.21986750984,0,nan,0
8,1,2,81,2,0,2,8,1,8,1,1.35985230606,0,nan,0
8,1,2,82,2,1,1,5,1,5,1,1.35985230606,0,nan,0
8,1,2,83,2,1,2,3,1,3,1,1.13987619772,0,nan,0
8,1,2,84,2,1,1,8,0,1,1,1.21986750984,0,nan,0
8,1,2,85,2,1,2,8,1,8,2,1.08988162765,0,nan,0
8,1,2,86,2,1,1,8,1,8,1,1.04988597159,0,nan,0
8,1,2,87,2,1,2,4,1,4,1,1.00989031553,0,nan,0
8,1,2,88,2,1,1,1,1,1,2,1.22986642386,0,nan,0
8,1,2,89,2,1,2,6,1,6,2,1.0598848856,0,nan,0
8,1,2,90,2,1,1,5,1,5,2,1.3898490481,0,nan,0
8,1,2,91,2,1,2,7,1,7,2,1.23986533787,0,nan,0
8,1,2,92,2,1,2,4,1,4,1,1.10987945568,0,nan,0
8,1,2,93,2,1,2,6,1,6,2,1.12987728371,0,nan,0
8,1,2,94,2,1,2,8,1,8,2,1.06988379962,0,nan,0
8,1,2,95,2,1,2,3,1,3,1,1.35985230606,0,nan,0
8,1,2,96,2,1,1,7,0,5,1,1.09988054166,0,nan,0
8,1,2,97,2,1,2,8,1,8,2,1.36985122007,0,nan,0
8,1,2,98,2,1,2,3,1,3,1,1.33985447803,0,nan,0
8,1,2,99,2,1,1,5,1,5,2,1.28985990795,0,nan,0
8,1,2,100,2,1,1,4,0,2,2,1.3898490481,0,nan,0
8,1,2,101,2,1,2,1,1,1,1,1.11987836969,0,nan,0
8,1,2,102,2,1,1,5,0,4,2,1.21986750984,0,nan,0
8,1,2,103,2,1,2,1,1,1,2,1.15987402575,0,nan,0
8,1,2,104,2,1,2,3,1,3,1,1.2598631659,0,nan,0
8,1,2,105,2,1,1,7,1,7,1,1.17987185378,0,nan,0
8,1,2,106,2,1,1,2,1,2,2,1.21986750984,0,nan,0
8,1,2,107,2,1,1,8,0,4,2,1.35985230606,0,nan,0
8,1,2,108,2,1,1,1,0,3,2,1.02988814356,0,nan,0
8,1,2,109,2,1,2,4,1,4,1,1.1898707678,0,nan,0
8,1,2,110,2,1,2,8,1,8,2,1.1898707678,0,nan,0
8,1,2,111,2,0,2,7,0,6,2,1.08988162765,0,nan,0
8,1,2,112,2,1,2,7,1,7,1,1.11987836969,0,nan,0
8,1,2,113,2,1,1,3,0,5,1,1.35985230606,0,nan,0
8,1,2,114,2,1,2,5,1,5,2,1.31985665,0,nan,0
8,1,2,115,2,1,1,6,1,6,2,1.28985990795,0,nan,0
8,1,2,116,2,1,1,4,1,4,2,1.0598848856,0,nan,0
8,1,2,117,2,1,1,5,1,5,1,1.35985230606,0,nan,0
8,1,2,118,2,1,2,6,1,6,2,1.32985556401,0,nan,0
8,1,2,119,2,1,2,4,1,4,1,1.36985122007,0,nan,0
8,1,2,120,2,1,1,3,1,3,2,1.04988597159,0,nan,0
8,1,2,121,2,1,1,1,1,1,1,1.09988054166,0,nan,0
8,1,2,122,2,1,2,6,1,6,2,1.32985556401,0,nan,0
8,1,2,123,2,1,2,4,1,4,1,1.35985230606,0,nan,0
8,1,2,124,2,1,2,2,1,2,1,1.35985230606,0,nan,0
8,1,2,125,2,1,1,8,1,8,2,1.15987402575,0,nan,0
8,1,2,126,2,1,1,1,1,1,1,1.09988054166,0,nan,0
8,1,2,127,2,1,1,7,1,7,1,1.01988922954,0,nan,0
8,1,2,128,2,1,1,4,1,4,2,1.17987185378,0,nan,0
8,1,2,129,2,1,1,3,1,3,2,1.27986099394,0,nan,0
8,1,2,130,2,0,2,6,0,1,1,1.34985339204,0,nan,0
8,1,2,131,2,1,2,2,1,2,2,1.20986859583,0,nan,0
8,1,2,132,2,1,2,5,0,4,2,1.02988814356,0,nan,0
8,1,2,133,2,1,2,1,1,1,1,1.03988705757,0,nan,0
8,1,2,134,2,1,2,6,1,6,1,1.00989031553,0,nan,0
8,1,2,135,2,1,2,7,1,7,1,1.13987619772,0,nan,0
8,1,2,136,2,1,1,5,1,5,1,1.11987836969,0,nan,0
8,1,2,137,2,1,1,6,0,1,1,1.37985013409,0,nan,0
8,1,2,138,2,1,1,2,1,2,1,1.36985122007,0,nan,0
8,1,2,139,2,1,2,5,1,5,1,1.15987402575,0,nan,0
8,1,2,140,2,1,2,3,0,8,2,1.31985665,0,nan,0
8,1,2,141,2,1,1,6,1,6,1,1.31985665,0,nan,0
8,1,2,142,2,1,2,7,1,7,1,1.20986859583,0,nan,0
8,1,2,143,2,1,2,3,1,3,2,1.22986642386,0,nan,0
8,1,2,144,2,1,1,2,1,2,2,1.06988379962,0,nan,0
8,1,2,145,2,1,1,4,0,1,2,1.34985339204,0,nan,0
8,1,2,146,2,1,2,6,1,6,2,1.21986750984,0,nan,0
8,1,2,147,2,1,2,7,1,7,1,0.999891401512,0,nan,0
8,1,2,148,2,1,2,2,1,2,1,1.13987619772,0,nan,0
8,1,2,149,2,1,1,2,0,6,2,1.03988705757,0,nan,0
8,1,2,150,2,1,2,7,1,7,2,1.20986859583,0,nan,0
8,1,2,151,2,1,1,2,1,2,2,1.11987836969,0,nan,0
8,1,2,152,2,0,2,2,1,2,1,1.39984796212,0,nan,0
8,1,2,153,2,1,1,2,0,8,1,1.33985447803,0,nan,0
8,1,2,154,2,1,2,1,0,2,1,1.01988922954,0,nan,0
8,1,2,155,2,1,2,8,1,8,2,1.22986642386,0,nan,0
8,1,2,156,2,1,2,1,1,1,1,1.00989031553,0,nan,0
8,1,2,157,2,1,2,4,1,4,2,1.27986099394,0,nan,0
8,1,2,158,2,0,2,1,1,1,2,1.22986642386,0,nan,0
8,1,2,159,2,1,2,5,1,5,1,1.32985556401,0,nan,0
8,1,2,160,2,1,2,3,1,3,2,1.07988271363,0,nan,0
8,1,3,161,1,0,1,8,1,8,2,1.2598631659,1,0.558781116943,0
8,1,3,162,1,1,2,2,0,3,1,1.1898707678,2,0.664352847598,0
8,1,3,163,1,1,2,4,1,4,1,1.32985556401,1,0.558228396431,1
8,1,3,164,1,1,1,7,1,7,2,1.08988162765,2,0.870190373124,1
8,1,3,165,1,1,2,4,1,4,1,1.20986859583,1,0.663047871754,1
8,1,3,166,1,1,1,2,1,2,2,1.30985773598,2,0.497430045839,1
8,1,3,167,1,1,1,5,1,5,1,1.07988271363,1,0.65669384989,1
8,1,3,168,1,1,1,5,1,5,1,1.01988922954,1,0.561443895548,1
8,1,3,169,1,1,1,1,1,1,1,1.2598631659,2,0.651884789017,0
8,1,3,170,1,1,2,3,1,3,2,1.04988597159,2,0.508548753964,1
8,1,3,171,1,1,2,5,1,5,2,1.03988705757,2,0.637898031971,1
8,1,3,172,1,1,2,3,1,3,1,1.34985339204,1,0.627437094459,1
8,1,3,173,1,1,2,3,1,3,2,1.34985339204,2,0.436753649963,1
8,1,3,174,1,1,2,7,1,7,1,1.3898490481,1,0.47338685455,1
8,1,3,175,1,1,2,2,1,2,2,1.17987185378,2,0.467854819551,1
8,1,3,176,1,1,1,6,1,6,1,1.19986968181,1,0.667855423288,1
8,1,3,177,1,1,2,3,1,3,1,1.02988814356,2,0.894756098113,0
8,1,3,178,1,1,2,6,0,4,1,1.09988054166,1,0.573134643742,1
8,1,3,179,1,1,1,7,1,7,2,1.26986207992,2,0.972401406101,1
8,1,3,180,1,1,1,8,1,8,1,1.34985339204,1,0.665064350735,1
8,1,3,181,1,1,1,2,0,8,2,1.11987836969,2,0.660177407888,1
8,1,3,182,1,1,1,5,0,7,1,1.35985230606,2,0.901699668398,0
8,1,3,183,1,1,2,8,1,8,1,1.04988597159,1,0.499717300514,1
8,1,3,184,1,0,2,4,1,4,1,1.37985013409,2,0.708241150359,0
8,1,3,185,1,1,1,4,1,4,2,1.1898707678,2,0.473233505549,1
8,1,3,186,1,1,2,8,1,8,2,1.23986533787,2,0.750836552002,1
8,1,3,187,1,1,1,8,1,8,1,1.10987945568,1,0.445779204608,1
8,1,3,188,1,1,1,1,1,1,2,1.06988379962,2,0.601594165493,1
8,1,3,189,1,1,1,1,1,1,2,1.22986642386,2,0.522448874863,1
8,1,3,190,1,1,1,4,1,4,2,1.33985447803,2,0.555240807739,1
8,1,3,191,1,1,1,3,1,3,2,1.16987293977,2,0.475119275638,1
8,1,3,192,1,1,2,3,0,7,1,1.15987402575,2,0.667472050786,0
8,1,3,193,1,0,1,8,0,3,2,1.28985990795,2,0.511664938472,1
8,1,3,194,1,1,2,1,0,8,2,1.07988271363,2,0.509345685777,1
8,1,3,195,1,1,2,2,1,2,1,1.02988814356,1,0.45627515882,1
8,1,3,196,1,1,2,6,1,6,2,1.12987728371,2,0.564123276899,1
8,1,3,197,1,1,1,3,1,3,2,1.14987511174,2,0.509612235318,1
8,1,3,198,1,1,2,7,1,7,2,1.09988054166,1,0.524975209082,0
8,1,3,199,1,1,2,7,0,5,2,1.24986425189,2,0.566178394997,1
8,1,3,200,1,1,2,1,1,1,2,1.36985122007,2,0.454992521218,1
8,1,3,201,1,1,1,5,1,5,1,1.20986859583,1,0.557886983598,1
8,1,3,202,1,1,2,6,1,6,2,1.12987728371,1,0.917481936967,0
