subject,session,block,trial,task,CT_fixed,cuecol,cueloc,validity,targloc,targtilt,delay,resp,time,corr
10,2,1,1,2,0,2,6,1,6,1,1.37985117657,0,nan,0
10,2,1,2,2,1,2,6,0,8,2,1.11987921577,0,nan,0
10,2,1,3,2,1,1,7,1,7,1,1.06988460792,0,nan,0
10,2,1,4,2,1,2,1,0,4,2,1.38985009814,0,nan,0
10,2,1,5,2,1,2,5,1,5,2,1.16987382361,0,nan,0
10,2,1,6,2,1,1,5,0,3,2,1.03988784321,0,nan,0
10,2,1,7,2,1,2,5,1,5,2,1.22986735303,0,nan,0
10,2,1,8,2,1,2,5,1,5,1,1.26986303931,0,nan,0
10,2,1,9,2,1,1,3,0,4,2,1.0098910785,0,nan,0
10,2,1,10,2,1,1,3,1,3,2,1.38985009814,0,nan,0
10,2,1,11,2,1,1,7,1,7,1,1.05988568635,0,nan,0
10,2,1,12,2,1,2,8,1,8,2,1.15987490204,0,nan,0
10,2,1,13,2,1,2,6,1,6,1,1.19987058832,0,nan,0
10,2,1,14,2,1,2,5,1,5,2,1.29985980402,0,nan,0
10,2,1,15,2,0,1,6,1,6,1,1.20986950989,0,nan,0
10,2,1,16,2,1,2,1,0,5,2,1.29985980402,0,nan,0
10,2,1,17,2,1,2,8,1,8,1,1.37985117657,0,nan,0
10,2,1,18,2,1,2,8,1,8,2,1.369852255,0,nan,0
10,2,1,19,2,1,1,6,0,2,2,1.11987921577,0,nan,0
10,2,1,20,2,1,2,8,1,8,2,1.29985980402,0,nan,0
10,2,1,21,2,1,2,2,0,5,1,1.35985333343,0,nan,0
10,2,1,22,2,1,1,7,0,6,1,1.04988676478,0,nan,0
10,2,1,23,2,1,1,4,0,1,1,1.19987058832,0,nan,0
10,2,1,24,2,1,2,2,1,2,2,1.14987598048,0,nan,0
10,2,1,25,2,1,1,3,1,3,1,1.2398662746,0,nan,0
10,2,1,26,2,1,2,2,1,2,1,1.39984901971,0,nan,0
10,2,1,27,2,1,2,5,0,1,2,1.26986303931,0,nan,0
10,2,1,28,2,1,1,7,0,6,2,1.30985872559,0,nan,0
10,2,1,29,2,1,1,1,1,1,2,1.06988460792,0,nan,0
10,2,1,30,2,1,2,4,1,4,2,1.26986303931,0,nan,0
10,2,1,31,2,1,1,2,1,2,2,1.25986411774,0,nan,0
10,2,1,32,2,1,1,8,1,8,2,1.26986303931,0,nan,0
10,2,1,33,2,1,2,1,1,1,1,1.16987382361,0,nan,0
10,2,1,34,2,1,2,1,1,1,1,1.21986843146,0,nan,0
10,2,1,35,2,1,2,1,1,1,2,1.19987058832,0,nan,0
10,2,1,36,2,1,2,2,1,2,1,1.22986735303,0,nan,0
10,2,1,37,2,1,1,1,1,1,1,1.28986088245,0,nan,0
10,2,1,38,2,1,1,2,1,2,2,1.369852255,0,nan,0
10,2,1,39,2,1,1,2,1,2,1,1.26986303931,0,nan,0
10,2,1,40,2,0,2,1,1,1,1,1.22986735303,0,nan,0
10,2,1,41,2,1,1,3,1,3,1,1.38985009814,0,nan,0
10,2,1,42,2,1,2,7,1,7,1,1.16987382361,0,nan,0
10,2,1,43,2,1,1,2,1,2,2,0.999892156935,0,nan,0
10,2,1,44,2,1,1,5,1,5,2,1.25986411774,0,nan,0
10,2,1,45,2,1,1,7,1,7,2,1.32985656872,0,nan,0
10,2,1,46,2,0,1,6,1,6,2,1.369852255,0,nan,0
10,2,1,47,2,1,2,6,1,6,1,1.09988137263,0,nan,0
10,2,1,48,2,1,2,4,1,4,2,1.14987598048,0,nan,0
10,2,1,49,2,1,2,4,1,4,2,1.22986735303,0,nan,0
10,2,1,50,2,1,1,6,1,6,2,1.28986088245,0,nan,0
10,2,1,51,2,1,1,7,1,7,1,1.32985656872,0,nan,0
10,2,1,52,2,1,1,4,1,4,1,1.19987058832,0,nan,0
